Date (CET),Lower Silesia (DS),Kuyavia-Pomerania (KP),Lubusz (LB),Łódź (LD),Lublin (LU),Lesser Poland (MA),Masovia (MZ; Warsaw),Opole (OP),Podlaskie (PD),Subcarpathian (PK),Pomerania (PM),Holy Cross (SK),Silesia (SL),Warmia–Masuria (WN),Greater Poland (WP),West Pomerania (ZP),Poland daily,Poland total
12 March 2020,,,,,,,,,,,,,,,1[100],,1,1
13 March 2020,1[101],,,,,,,,,,,,,,,,1,2
14 March 2020,,,,,1[102],,,,,,,,,,,,1,3
15 March 2020,,,,,,,,,,,,,,,,,0,3
16 March 2020,,,,,,,,,,1[35],,,,,,,1,4
17 March 2020,1[39],,,,,,,,,,,,,,,,1,5
18 March 2020,,,,,,,,,,,,,,,,,0,5
19 March 2020,,,,,,,,,,,,,,,,,0,5
20 March 2020,,,,,,,,,,0[46][47],,,,,,,0,5
21 March 2020,,,,,,,,,,,,,,,,,0,5
22 March 2020,,,,,,,1[103],,,,,,,,1[103],,2,7
23 March 2020,,,,,,,,,,,,,1[104],,,,1,8
24 March 2020,,,,,1[105],,,,,,,,1[106][68],,,,2,10
25 March 2020,2[63][107][108],,,,,,,,,,,1[109],,,,,3,13
26 March 2020,,,,,,,2[110],,,,,,,,,1[111],3,16
27 March 2020,,,,,,,,,,,,,,,,,0,16
28 March 2020,,,,,1[112],,1[113],,,,,,,,,,2,18
29 March 2020,,,,,,1[114],,,,,,,3[114][115][116],,,,4,22
30 March 2020,,,,,1[117],,3[117],,,2[118],,,2[117][118],,1[118],,9,31
31 March 2020,,,,,,,1[119],,,,,,1[120],,,,2,33
1 April 2020,,,,1[121],1[121],,3[121][122],,,,,,2[123][122],,3[121],,10,43
2 April 2020,2[124],,,,,3[125][124],3[125],1[124],,1[126],,,1[126],,2[125],1[124],14,57